idx	label	predict	radius	correct	time
0	tensor([7])	7	0.616	1	0:00:00.113966
1	tensor([2])	2	0.589	1	0:00:00.102073
2	tensor([1])	1	0.445	1	0:00:00.098820
3	tensor([0])	0	0.416	1	0:00:00.101276
4	tensor([4])	4	0.396	1	0:00:00.102975
5	tensor([1])	7	0.41	0	0:00:00.102908
6	tensor([4])	4	0.283	1	0:00:00.105339
7	tensor([9])	9	0.589	1	0:00:00.102257
8	tensor([5])	5	0.291	1	0:00:00.099558
9	tensor([9])	9	0.616	1	0:00:00.101182
10	tensor([0])	0	0.616	1	0:00:00.101530
11	tensor([6])	6	0.616	1	0:00:00.100702
12	tensor([9])	9	0.571	1	0:00:00.099182
13	tensor([0])	-1	0.0	0	0:00:00.100781
14	tensor([1])	1	0.616	1	0:00:00.101615
15	tensor([5])	5	0.0587	1	0:00:00.100960
16	tensor([9])	8	0.472	0	0:00:00.103085
17	tensor([7])	7	0.225	1	0:00:00.099311
18	tensor([3])	8	0.114	0	0:00:00.099671
19	tensor([4])	4	0.193	1	0:00:00.101360
20	tensor([9])	-1	0.0	0	0:00:00.099614
21	tensor([6])	6	0.501	1	0:00:00.100439
22	tensor([6])	8	0.0469	0	0:00:00.102096
23	tensor([5])	5	0.544	1	0:00:00.103256
24	tensor([4])	4	0.045	1	0:00:00.100919
25	tensor([0])	0	0.616	1	0:00:00.099781
26	tensor([7])	7	0.516	1	0:00:00.100249
27	tensor([4])	4	0.501	1	0:00:00.101836
28	tensor([0])	0	0.616	1	0:00:00.101659
29	tensor([1])	8	0.354	0	0:00:00.098967
30	tensor([3])	3	0.589	1	0:00:00.101373
31	tensor([1])	8	0.31	0	0:00:00.100470
32	tensor([3])	8	0.488	0	0:00:00.101001
33	tensor([4])	8	0.416	0	0:00:00.100788
34	tensor([7])	7	0.616	1	0:00:00.099724
35	tensor([2])	8	0.524	0	0:00:00.099677
36	tensor([7])	7	0.544	1	0:00:00.100327
37	tensor([1])	1	0.616	1	0:00:00.101281
38	tensor([2])	2	0.571	1	0:00:00.103045
39	tensor([1])	1	0.571	1	0:00:00.099941
40	tensor([1])	1	0.208	1	0:00:00.099557
41	tensor([7])	7	0.616	1	0:00:00.100275
42	tensor([4])	4	0.616	1	0:00:00.098884
43	tensor([2])	8	0.571	0	0:00:00.102981
44	tensor([3])	8	0.616	0	0:00:00.100492
45	tensor([5])	5	0.15	1	0:00:00.101616
46	tensor([1])	1	0.557	1	0:00:00.100229
47	tensor([2])	2	0.616	1	0:00:00.099142
48	tensor([4])	4	0.0994	1	0:00:00.101383
49	tensor([4])	4	0.0219	1	0:00:00.099502
50	tensor([6])	-1	0.0	0	0:00:00.099806
51	tensor([3])	3	0.261	1	0:00:00.100399
52	tensor([5])	5	0.125	1	0:00:00.099828
53	tensor([5])	5	0.589	1	0:00:00.100305
54	tensor([6])	-1	0.0	0	0:00:00.101379
55	tensor([0])	8	0.383	0	0:00:00.099737
56	tensor([4])	4	0.616	1	0:00:00.099838
57	tensor([1])	1	0.616	1	0:00:00.100664
58	tensor([9])	9	0.616	1	0:00:00.101147
59	tensor([5])	5	0.589	1	0:00:00.100612
60	tensor([7])	7	0.457	1	0:00:00.100742
61	tensor([8])	8	0.616	1	0:00:00.100050
62	tensor([9])	9	0.35	1	0:00:00.099050
63	tensor([3])	3	0.472	1	0:00:00.100798
64	tensor([7])	7	0.616	1	0:00:00.099851
65	tensor([4])	8	0.00483	0	0:00:00.101556
66	tensor([6])	6	0.571	1	0:00:00.099668
67	tensor([4])	4	0.319	1	0:00:00.100756
68	tensor([3])	3	0.423	1	0:00:00.100895
69	tensor([0])	0	0.616	1	0:00:00.100353
70	tensor([7])	7	0.26	1	0:00:00.101433
71	tensor([0])	0	0.616	1	0:00:00.100774
72	tensor([2])	2	0.482	1	0:00:00.101356
73	tensor([9])	8	0.246	0	0:00:00.101969
74	tensor([1])	0	0.616	0	0:00:00.099688
75	tensor([7])	7	0.215	1	0:00:00.101449
76	tensor([3])	3	0.616	1	0:00:00.100122
77	tensor([2])	2	0.482	1	0:00:00.129956
78	tensor([9])	9	0.107	1	0:00:00.150404
79	tensor([7])	7	0.501	1	0:00:00.138759
80	tensor([7])	7	0.358	1	0:00:00.142288
81	tensor([6])	6	0.616	1	0:00:00.148481
82	tensor([2])	2	0.616	1	0:00:00.135447
83	tensor([7])	7	0.616	1	0:00:00.145210
84	tensor([8])	8	0.429	1	0:00:00.102365
85	tensor([4])	-1	0.0	0	0:00:00.100334
86	tensor([7])	7	0.616	1	0:00:00.099002
87	tensor([3])	3	0.488	1	0:00:00.100155
88	tensor([6])	6	0.616	1	0:00:00.102128
89	tensor([1])	1	0.616	1	0:00:00.101746
90	tensor([3])	8	0.329	0	0:00:00.099413
91	tensor([6])	6	0.467	1	0:00:00.102032
92	tensor([9])	9	0.31	1	0:00:00.101247
93	tensor([3])	3	0.616	1	0:00:00.101099
94	tensor([1])	8	0.323	0	0:00:00.103185
95	tensor([4])	4	0.128	1	0:00:00.100731
96	tensor([1])	1	0.369	1	0:00:00.100175
97	tensor([7])	8	0.472	0	0:00:00.100612
98	tensor([6])	6	0.616	1	0:00:00.101729
99	tensor([9])	8	0.172	0	0:00:00.103429
100	tensor([6])	6	0.557	1	0:00:00.101053
101	tensor([0])	0	0.557	1	0:00:00.100142
102	tensor([5])	5	0.616	1	0:00:00.105006
103	tensor([4])	4	0.616	1	0:00:00.101094
104	tensor([9])	9	0.185	1	0:00:00.105632
105	tensor([9])	9	0.0528	1	0:00:00.102324
106	tensor([2])	2	0.616	1	0:00:00.100499
107	tensor([1])	8	0.375	0	0:00:00.101006
